ORDER_ID,PRODUCT_ID,QUANTITY_ORDERED,UNIT_PRICE,DISCOUNT_PERCENT,TOTAL_LINE_AMOUNT
1,726,2,39460,14.9,67161.27
1,121,4,48382,5.6,182682.16
1,547,4,32236,17.02,107002.06
1,317,3,27663,10.65,74147.24
1,195,2,16145,10.82,28795.67
2,666,1,17292,6.29,16203.51
3,394,4,29795,17.79,97975.9
3,10,3,31465,6.73,88041.05
4,253,3,44802,5.56,126933.9
4,519,5,34068,18.43,138951.34
4,386,1,16851,19.37,13587.68
5,119,3,24872,7.1,69320.24
5,272,1,18904,12.67,16509.32
5,316,3,41038,1.67,121057.14
5,476,1,10915,18.74,8869.33
5,32,4,16492,7.09,61288.33
6,621,4,33101,10.41,118623.51
6,149,1,7360,15.63,6209.88
6,390,5,45893,0.6,228088.67
6,517,2,19777,1.57,38932.29
7,453,2,22929,16.7,38198.83
7,732,1,33757,13.94,29050.77
7,142,5,37951,3.21,183657.31
7,197,3,1406,19.25,3405.88
8,30,1,37381,4.06,35865.0
8,369,3,6735,14.69,17236.81
9,207,2,3368,2.38,6575.9
9,143,2,24531,3.77,47209.99
9,192,4,17836,5.53,67395.95
9,278,4,17582,15.14,59679.53
10,238,2,6771,12.46,11855.17
10,740,3,6241,6.22,17559.33
10,372,3,12465,4.18,35831.25
11,246,4,38568,8.69,140869.52
11,339,3,18765,9.73,50816.3
12,231,2,28034,11.45,49650.41
12,109,2,32833,14.48,56157.88
12,666,5,17292,6.04,81241.47
12,632,5,48368,1.13,239104.5
13,220,1,22061,3.59,21269.56
13,28,1,48050,6.0,45166.6
13,208,5,42655,12.96,185637.73
13,233,2,1351,2.48,2634.91
14,410,5,35308,2.44,172239.29
14,263,1,32235,2.42,31456.13
14,433,1,31953,15.11,27125.39
15,53,5,38958,13.76,167979.12
15,30,3,37381,18.27,91658.04
15,621,1,33101,16.35,27690.42
15,700,1,35385,2.32,34563.95
16,119,4,24872,1.91,97588.38
16,212,1,32325,16.43,27015.42
16,75,4,30634,19.6,98514.95
17,755,4,31786,6.03,119474.68
17,737,3,30765,11.12,82030.99
18,93,5,23163,6.93,107794.31
18,600,5,47599,10.21,213692.55
19,799,5,47253,15.98,198507.68
19,492,2,36731,18.77,59673.24
19,290,1,5940,18.25,4856.08
19,773,3,5857,3.42,16969.88
19,673,1,40985,16.94,34040.32
20,450,3,47864,8.03,132054.62
21,319,2,33976,6.65,63430.68
21,223,3,25609,0.06,76784.35
21,165,2,33251,15.67,56081.72
21,211,1,6949,9.33,6300.36
22,102,2,5698,4.86,10841.86
22,681,4,9569,1.3,37779.59
22,298,2,26112,6.25,48957.73
23,334,2,12254,6.12,23007.88
24,795,5,13627,5.97,64068.19
24,134,3,26786,0.33,80089.46
24,176,1,1222,11.01,1087.51
25,571,5,1587,12.54,6939.62
26,449,5,34100,12.36,149432.48
26,314,1,24827,9.45,22481.04
26,572,2,14356,8.48,26276.2
26,190,3,18015,13.72,46630.06
27,207,1,3368,8.12,3094.52
27,337,2,48758,17.75,80207.78
27,182,4,15669,10.19,56288.02
27,172,3,33849,1.98,99534.63
28,155,2,24628,5.6,46498.28
29,514,4,40377,11.86,142353.66
29,121,5,48382,5.43,228763.85
30,507,3,15441,5.21,43907.72
31,121,2,48382,8.34,88696.7
31,680,5,35000,19.03,141698.62
32,18,3,39505,9.81,106888.98
32,38,2,31132,3.13,60316.45
33,552,1,7982,9.94,7188.36
33,534,2,37899,15.57,63993.94
34,20,3,22758,15.53,57673.31
34,529,4,38337,6.66,143141.67
34,261,4,44754,7.29,165964.69
34,762,3,31037,0.28,92846.58
34,11,1,36842,8.72,33630.56
35,361,4,23190,8.69,84699.9
35,579,1,9735,6.82,9070.99
36,349,2,12703,0.37,25312.75
36,628,3,15857,6.86,44307.7
36,755,2,31786,0.37,63336.89
36,11,5,36842,6.49,172246.31
37,51,5,15874,5.19,75249.77
37,466,2,27100,17.02,44972.5
37,365,2,18757,3.46,36217.5
37,222,4,14366,8.51,52575.96
37,699,3,40033,18.31,98108.78
38,768,4,13488,16.84,44863.87
39,648,2,25201,8.7,46018.28
39,227,3,47686,2.1,140047.66
39,253,2,44802,13.3,77690.67
39,450,3,47864,9.95,129300.88
40,432,4,9095,8.16,33412.71
41,208,5,42655,4.66,203329.7
41,27,1,6409,14.61,5472.57
42,100,1,35404,13.74,30538.25
42,696,1,42452,10.66,37925.75
42,438,4,655,17.29,2166.94
43,280,1,28810,9.91,25955.48
43,205,4,25290,14.8,86189.01
43,575,2,47368,7.6,87531.82
43,381,3,43651,17.16,108480.5
44,398,4,923,3.46,3564.37
44,156,1,33348,0.8,33082.39
44,12,1,17998,19.22,14538.69
44,749,3,23588,11.26,62798.4
45,367,2,37434,6.12,70282.48
46,130,2,23932,16.82,39814.86
46,391,2,37932,1.23,74929.06
47,126,5,47790,0.67,237344.91
47,112,2,18796,5.16,35651.57
47,451,5,48356,5.87,227598.9
48,280,5,28810,4.54,137510.59
48,623,2,48286,18.08,79115.43
48,545,2,15633,2.28,30553.89
48,466,1,27100,19.59,21791.67
48,232,4,3676,7.76,13563.02
49,42,3,20451,12.41,53736.2
49,50,2,39362,15.26,66711.82
49,728,5,2734,6.73,12749.93
49,69,5,6567,6.27,30777.82
49,729,4,18638,10.37,66819.98
50,54,3,6473,18.48,15831.18
50,248,5,36087,4.93,171534.61
51,588,3,7137,12.14,18811.14
51,607,1,4954,11.32,4393.13
51,75,2,30634,5.78,57724.87
51,692,4,12456,7.78,45946.67
51,302,2,7694,8.68,14052.11
52,93,5,23163,15.97,97318.86
52,604,5,30919,15.3,130939.85
52,580,2,26116,9.39,47327.48
52,166,5,45904,2.23,224397.94
53,552,2,7982,15.33,13517.0
53,425,3,16820,15.12,42829.62
53,277,5,39219,15.16,166366.2
53,555,3,8915,19.97,21404.84
53,372,3,12465,2.39,36502.33
54,734,5,40820,12.99,177588.36
55,540,4,29779,10.49,106623.0
56,445,2,34167,17.73,56221.7
56,116,1,46793,14.38,40063.09
56,106,3,11693,17.99,28769.2
57,642,4,20066,4.33,76789.68
57,226,3,33478,19.72,80630.53
57,266,3,40759,1.36,120611.4
58,130,1,23932,10.87,21330.5
58,341,1,2932,18.98,2375.39
58,612,5,4319,11.06,19206.22
58,29,5,34481,13.87,148484.14
58,66,3,16135,9.27,43920.0
59,70,1,5496,5.45,5196.74
59,654,3,22058,10.38,59302.92
59,569,3,40452,14.09,104258.73
59,208,2,42655,12.23,74878.35
60,681,1,9569,14.02,8227.1
60,499,5,3641,14.32,15597.2
60,7,1,15490,14.25,13282.92
61,766,3,38185,11.56,101317.18
61,208,1,42655,12.0,37536.76
61,247,3,12830,7.99,35413.56
61,664,4,39598,10.89,141136.33
61,522,3,44510,0.25,133192.9
62,182,2,15669,10.59,28018.47
63,59,1,29617,2.07,29003.97
63,221,3,32169,5.42,91277.37
63,409,1,32132,1.55,31633.52
63,448,1,12125,8.3,11119.1
64,302,4,7694,5.98,28935.88
65,709,3,49181,18.19,120703.21
66,615,2,8669,5.32,16416.35
66,87,5,13087,16.86,54404.43
67,744,3,40044,10.49,107529.22
67,63,2,33080,19.98,52941.23
67,13,5,30835,19.15,124648.02
67,623,3,48286,4.71,138040.35
67,106,3,11693,5.24,33242.35
68,389,3,42908,15.37,108937.8
69,198,1,32332,19.48,26034.19
69,289,3,10839,17.24,26911.13
70,143,1,24531,17.69,20190.59
70,517,1,19777,7.21,18350.62
70,700,1,35385,0.58,35178.84
70,583,3,31110,13.16,81049.51
70,315,3,31232,18.44,76418.42
71,661,2,31371,12.37,54983.42
71,761,4,48956,12.04,172241.48
72,73,2,6056,6.72,11298.53
72,785,1,36000,9.37,32627.84
72,91,3,19650,1.92,57816.5
73,609,5,17474,9.0,79506.47
73,387,1,9683,5.34,9166.23
73,40,4,27304,4.34,104479.99
74,423,3,35333,8.44,97053.51
74,223,1,25609,5.04,24318.71
74,541,3,14183,18.48,34686.48
75,359,5,14931,12.2,65545.4
75,615,4,8669,9.66,31325.68
76,265,2,976,19.58,1569.87
76,459,3,35302,13.84,91246.64
76,759,1,750,13.97,645.22
76,72,5,37610,8.91,171300.87
76,424,4,42314,17.18,140169.78
77,46,2,26393,2.57,51427.42
77,386,1,16851,0.9,16698.65
77,799,2,47253,13.42,81822.39
78,408,3,45581,5.66,128996.9
78,228,1,5162,10.24,4633.46
78,369,1,6735,12.34,5903.91
78,194,5,41269,5.91,194147.0
78,284,5,33707,12.21,147953.3
79,453,4,22929,16.49,76591.31
79,213,1,14626,2.57,14249.72
79,227,3,47686,13.61,123586.41
79,343,3,25159,8.53,69041.19
80,405,2,17040,6.66,31809.02
80,420,1,49349,9.27,44773.87
80,84,5,43041,11.32,190838.47
80,365,3,18757,19.26,45435.43
80,184,5,17258,11.78,76126.36
81,679,5,31686,7.97,145809.84
81,466,3,27100,2.59,79191.96
81,70,5,5496,4.9,26132.22
81,208,1,42655,19.2,34464.1
82,615,3,8669,13.51,22492.3
82,791,5,13806,11.21,61293.77
82,447,4,29566,11.76,104353.64
82,465,4,1166,2.38,4552.96
82,551,5,5904,4.3,28249.54
83,586,5,28146,18.24,115066.53
83,479,1,36972,7.56,34175.76
83,718,4,18639,13.42,64550.33
83,591,2,46516,16.96,77257.92
83,90,2,42148,19.64,67740.39
84,64,2,9431,12.71,16463.93
84,552,5,7982,8.76,36415.61
84,268,1,18751,0.42,18673.13
84,655,4,16684,1.1,66002.45
85,289,3,10839,15.56,27458.0
85,715,2,14163,1.59,27875.75
85,77,4,39207,4.03,150505.15
86,562,4,31515,7.66,116401.43
86,789,3,10921,19.42,26399.88
87,80,4,41984,9.79,151493.58
88,274,3,37306,2.01,109672.37
88,225,5,12361,10.07,55580.67
88,678,2,29043,9.23,52726.59
88,421,4,15104,4.51,57692.97
88,507,1,15441,1.1,15270.46
89,63,4,33080,16.21,110873.68
89,238,4,6771,7.3,25107.7
89,446,3,5476,8.48,15034.65
89,740,5,6241,7.02,29013.96
89,611,5,38779,1.7,190604.7
90,460,2,48951,5.96,92071.54
90,224,3,47406,2.78,138258.09
90,81,1,39188,16.41,32756.58
90,420,1,49349,11.04,43902.53
90,673,5,40985,11.09,182192.98
91,707,5,39275,0.53,195330.07
92,492,4,36731,3.23,142185.56
93,111,3,42462,13.7,109929.76
93,494,1,18760,4.38,17938.42
93,733,3,30817,13.51,79961.6
93,515,2,12505,19.41,20156.26
93,520,5,47224,17.55,194678.54
94,661,3,31371,11.21,83559.57
94,238,2,6771,11.88,11932.82
94,600,5,47599,18.12,194868.48
94,541,3,14183,1.28,42003.77
95,433,5,31953,13.46,138261.61
96,403,2,19116,17.44,31565.5
96,550,1,36096,10.93,32150.32
96,82,4,26210,0.2,104632.51
96,274,4,37306,0.97,147780.97
97,265,5,976,5.46,4613.59
97,747,5,18890,3.31,91325.23
97,210,4,28943,9.07,105269.34
97,581,3,5478,0.7,16318.29
97,384,2,7461,3.13,14455.65
98,162,4,22610,0.78,89735.46
99,369,5,6735,13.81,29023.86
99,584,4,48654,19.7,156268.67
100,367,3,37434,16.36,93931.19
100,677,2,3875,14.1,6657.55
100,644,1,3808,7.34,3528.56
100,793,1,28398,12.33,24897.52
100,481,2,8883,2.0,17410.74
101,389,3,42908,9.66,116289.52
102,744,4,40044,15.54,135282.96
102,737,1,30765,17.51,25378.24
102,457,2,641,1.02,1268.88
102,410,2,35308,1.22,69756.61
103,435,4,2057,3.44,7945.0
103,333,1,13413,13.28,11631.13
103,358,2,39235,17.72,64566.21
104,149,4,7360,16.49,24586.49
104,620,3,2948,19.89,7084.95
104,690,4,7166,11.9,25253.66
104,499,1,3641,4.43,3479.63
105,165,2,33251,15.15,56425.98
106,500,3,44964,6.67,125892.24
106,629,4,2894,19.15,9358.85
106,151,5,33987,7.09,157888.82
106,194,5,41269,10.04,185627.89
107,652,2,3791,13.66,6546.2
107,37,3,15043,0.23,45025.7
108,261,5,44754,13.3,194002.73
109,263,3,32235,5.86,91040.09
109,224,2,47406,14.03,81510.42
109,141,4,18117,0.03,72443.84
109,21,2,43651,7.62,80650.44
110,58,1,8735,5.78,8229.8
111,596,3,44068,13.63,114184.75
111,28,1,48050,2.7,46751.26
111,421,5,15104,2.57,73579.8
111,498,1,45585,5.27,43181.3
111,776,2,49281,9.81,88895.06
112,240,4,49005,10.56,175320.16
112,11,4,36842,11.5,130413.69
112,268,4,18751,3.77,72177.97
112,124,2,10850,12.03,19089.77
112,599,4,8251,16.89,27428.91
113,170,5,36923,8.12,169631.8
113,797,5,12758,15.78,53722.58
113,195,3,16145,18.17,39632.37
113,537,4,6719,18.19,21986.06
114,306,1,4387,1.24,4332.55
114,261,4,44754,3.82,172185.45
114,264,5,19805,16.81,82379.67
115,755,3,31786,16.88,79258.87
115,363,1,876,6.21,821.62
115,554,5,28019,3.34,135412.46
116,419,1,27828,15.29,23572.63
116,112,3,18796,13.88,48563.4
116,460,3,48951,11.41,130092.13
116,634,4,9430,15.01,32059.77
117,716,4,47791,8.6,174719.87
117,407,3,24147,17.93,59455.54
117,289,4,10839,5.68,40891.66
117,710,2,16471,4.7,31393.78
117,4,5,27058,14.89,115142.29
118,296,5,3447,13.6,14891.83
119,680,4,35000,15.49,118307.74
119,262,2,5600,19.86,8975.42
119,343,1,25159,5.82,23695.74
119,438,5,655,14.54,2798.8
120,349,2,12703,11.0,22611.89
120,144,1,18039,9.43,16337.22
120,226,2,33478,12.89,58326.5
121,83,5,37698,17.77,154998.73
121,790,3,36702,5.81,103710.05
121,352,3,44172,11.16,117724.22
121,228,3,5162,18.34,12645.94
122,256,4,42330,12.25,148585.31
122,703,3,4006,14.28,10301.47
122,523,2,40799,11.6,72135.81
123,325,4,35715,19.17,115473.33
123,620,5,2948,4.72,14044.45
123,730,3,3552,15.57,8997.32
124,645,3,3061,18.43,7490.89
124,268,5,18751,3.45,90520.96
124,749,3,23588,4.81,67358.75
124,241,2,9679,11.42,17147.85
125,488,4,10065,11.28,35719.16
125,734,5,40820,11.0,181651.96
125,280,5,28810,18.41,117526.96
125,604,3,30919,3.54,89472.61
126,673,3,40985,17.63,101283.45
127,445,4,34167,2.62,133093.25
127,543,2,46974,3.87,90315.94
128,632,4,48368,6.21,181456.27
128,82,5,26210,12.77,114321.05
128,478,4,17954,6.82,66914.98
128,342,2,37200,5.62,70218.59
128,707,5,39275,6.81,183007.54
129,442,2,48976,3.13,94888.52
129,576,1,13345,19.63,10725.78
129,208,5,42655,15.95,179267.6
130,538,5,14352,7.42,66432.68
130,781,5,41599,12.84,181280.22
130,191,3,13906,14.53,35656.34
130,39,3,45497,6.67,127391.41
131,695,4,35816,14.35,122699.86
132,471,2,31634,2.08,61953.59
132,291,5,38557,7.95,177450.92
132,731,5,47746,8.78,217760.94
133,79,3,12329,14.1,31773.16
134,515,1,12505,14.23,10725.44
135,164,1,42084,7.41,38966.05
135,497,2,34861,17.84,57285.39
135,318,2,1058,8.77,1930.4
136,224,3,47406,3.55,137167.65
136,691,1,27431,6.96,25522.86
136,675,3,20066,9.08,54733.17
137,164,2,42084,8.66,76881.97
137,309,1,28184,17.81,23163.46
137,558,5,47340,2.0,231959.62
137,444,1,2198,10.2,1973.86
138,193,5,3441,4.16,16489.47
139,793,2,28398,6.96,52845.63
139,74,3,16509,10.69,44234.82
139,272,4,18904,8.48,69201.71
140,631,2,25538,7.02,47490.48
140,409,4,32132,8.16,118040.76
140,764,3,39846,1.9,117267.25
141,280,3,28810,5.8,81419.45
142,634,5,9430,10.3,42295.57
142,452,2,21776,16.13,36528.92
143,441,2,8841,19.22,14284.28
143,633,1,29233,18.97,23686.17
143,15,1,4611,18.96,3736.9
143,1,4,22044,6.68,82281.67
144,664,5,39598,1.1,195812.71
144,341,1,2932,18.96,2376.02
144,343,1,25159,2.14,24621.4
144,616,3,9508,2.13,27915.44
145,345,4,29216,6.77,108953.91
145,549,3,6483,14.68,16592.95
145,146,3,39922,7.64,110616.27
145,432,1,9095,18.25,7435.19
146,360,1,11048,10.43,9895.55
146,283,4,49245,2.25,192543.98
146,550,5,36096,14.72,153917.47
146,177,1,26731,1.45,26343.07
147,468,1,10824,2.43,10561.11
148,537,4,6719,3.01,26067.69
148,445,2,34167,4.6,65193.01
148,61,1,33184,15.97,27884.45
149,724,4,32772,8.19,120353.23
149,754,5,42485,0.03,212368.23
149,180,2,17565,13.39,30426.71
150,103,2,3525,10.22,6329.5
150,281,1,18068,5.69,17040.35
150,91,5,19650,6.49,91871.71
151,791,5,13806,9.44,62511.84
151,83,3,37698,16.25,94711.15
151,605,1,39121,7.11,36338.94
151,252,1,27051,13.0,23533.51
152,85,4,10347,9.56,37431.57
153,136,5,42470,7.06,197347.6
153,556,3,5463,8.37,15018.02
153,761,5,48956,11.38,216921.71
154,718,3,18639,4.79,53239.05
154,304,4,30285,19.25,97819.05
154,235,2,49213,2.4,96059.44
155,530,2,15331,3.74,29514.84
155,318,4,1058,4.7,4033.29
155,27,2,6409,18.03,10506.39
156,676,2,1469,16.65,2448.72
156,81,1,39188,14.66,33444.2
157,77,1,39207,16.66,32673.45
158,565,3,18645,0.44,55690.61
159,567,3,18576,11.98,49051.1
159,706,1,15329,7.28,14213.22
160,132,2,5667,17.12,9393.97
160,606,4,27043,8.46,99017.65
160,569,1,40452,17.54,33358.34
160,107,3,27917,14.07,71964.28
161,527,2,16870,9.08,30676.41
162,790,3,36702,9.02,100179.55
162,657,5,47124,13.54,203709.52
162,544,2,890,10.67,1589.99
162,719,3,16217,8.46,44534.83
163,146,5,39922,2.89,193836.26
163,558,2,47340,13.44,81951.23
163,548,1,45077,10.41,40385.12
164,558,2,47340,6.99,88060.36
164,342,2,37200,2.4,72616.71
164,696,1,42452,13.19,36854.54
165,178,3,18083,2.68,52797.1
165,706,1,15329,1.15,15152.14
165,672,5,14137,13.97,60808.69
165,780,3,43401,12.15,114385.93
165,281,1,18068,10.22,16221.18
166,739,2,24773,18.07,40594.33
166,623,3,48286,14.34,124088.32
166,504,5,15085,13.68,65105.28
166,554,2,28019,1.63,55126.67
167,5,3,6694,10.82,17909.44
168,162,2,22610,6.0,42506.56
169,675,5,20066,1.84,98482.63
169,223,3,25609,3.86,73865.0
169,378,1,3865,0.5,3845.85
169,325,2,35715,8.81,65134.9
169,497,2,34861,11.81,61484.89
170,543,4,46974,12.59,164244.22
170,549,3,6483,19.22,15711.43
170,287,1,10192,2.48,9938.93
171,44,5,36772,17.42,151838.19
172,421,3,15104,16.21,37965.12
173,21,5,43651,12.96,189970.7
173,600,5,47599,14.75,202892.05
173,709,5,49181,1.75,241607.78
173,10,1,31465,18.83,25541.62
174,296,5,3447,6.51,16113.66
174,240,1,49005,8.02,45073.95
174,699,2,40033,6.46,74896.21
174,393,1,44254,18.22,36192.33
174,625,1,34226,13.72,29531.74
175,264,1,19805,9.65,17892.99
175,243,4,8253,3.43,31878.82
176,71,1,7350,0.93,7281.48
176,353,5,41391,19.23,167152.13
176,106,3,11693,17.22,29037.13
177,306,4,4387,3.72,16895.41
177,546,5,32919,4.0,158013.03
177,610,3,18636,5.54,52810.13
177,573,1,30067,18.8,24413.88
178,46,4,26393,11.52,93410.73
178,23,4,14787,12.47,51773.68
178,62,1,49542,13.48,42863.48
179,708,3,33623,5.62,95200.07
179,431,3,9276,0.38,27722.78
179,450,3,47864,8.38,131562.92
180,691,5,27431,9.95,123512.7
180,332,3,13405,12.2,35310.52
180,509,3,27720,15.95,69892.44
180,44,4,36772,0.92,145730.39
180,508,1,16651,13.96,14325.91
181,702,3,42805,16.26,107539.42
181,259,1,31342,18.07,25678.02
181,515,5,12505,12.39,54779.96
181,450,3,47864,0.55,142801.91
182,464,4,44443,7.82,163871.77
183,433,4,31953,6.41,119617.94
183,154,5,4191,2.32,20467.99
184,423,4,35333,6.45,132220.61
184,157,3,1861,12.66,4876.29
184,14,1,37342,15.26,31643.77
184,439,5,9388,9.58,42443.23
184,289,4,10839,2.27,42369.84
185,666,4,17292,0.49,68830.1
185,477,5,42546,6.03,199894.81
185,116,3,46793,12.85,122337.38
186,172,3,33849,18.53,82730.25
186,577,5,6466,14.38,27679.78
186,737,5,30765,6.52,143803.24
186,685,1,13026,11.57,11518.31
186,216,4,2068,2.69,8049.68
187,83,4,37698,1.09,149155.36
187,136,5,42470,9.32,192568.98
188,561,5,6452,17.71,26546.81
188,795,5,13627,17.23,56398.48
189,428,4,10286,8.01,37850.22
189,794,3,6198,19.24,15016.06
190,297,3,9820,18.25,24082.86
190,774,4,24648,3.12,95515.42
190,423,1,35333,3.24,34189.55
190,756,5,45655,4.72,217505.14
191,747,1,18890,11.51,16715.35
191,729,1,18638,13.1,16196.83
191,96,3,38441,2.15,112844.65
191,292,4,19966,9.06,72627.69
191,323,5,37161,5.58,175439.66
192,457,5,641,13.58,2769.86
192,319,1,33976,16.1,28505.53
192,590,4,21896,12.83,76345.3
193,186,5,15432,1.07,76333.31
193,388,3,9845,7.77,27239.67
193,794,2,6198,0.18,12373.52
193,455,5,22338,2.09,109353.37
193,146,3,39922,3.39,115703.79
194,629,3,2894,12.71,7578.21
194,305,2,38911,8.35,71323.81
194,721,1,27436,15.59,23158.77
195,641,5,2590,17.67,10661.8
195,380,4,30278,2.51,118073.85
195,476,2,10915,9.52,19752.77
195,439,4,9388,1.58,36959.61
195,51,4,15874,1.82,62337.29
196,52,4,7475,9.49,27061.11
197,569,2,40452,17.81,66491.95
197,379,5,15068,10.6,67356.24
198,104,4,47117,4.33,180308.01
198,653,2,27469,9.4,49774.75
198,188,1,48493,5.71,45725.12
198,323,2,37161,13.8,64066.72
199,481,4,8883,6.27,33304.25
199,666,3,17292,12.44,45421.9
199,90,5,42148,11.24,187062.1
199,675,3,20066,3.17,58289.96
199,230,3,8241,8.73,22564.21
200,320,3,2171,16.16,5460.44
200,404,1,13135,13.0,11426.96
200,427,1,13299,7.48,12304.55
201,272,4,18904,1.9,74180.9
201,293,5,23591,1.44,116252.73
201,538,1,14352,7.43,13285.78
201,413,1,10744,13.58,9285.06
202,609,5,17474,1.89,85721.4
203,411,3,17282,15.52,43799.04
203,750,4,27560,18.36,90005.17
204,62,1,49542,0.46,49312.6
204,174,4,11157,5.72,42073.86
204,360,2,11048,12.66,19297.7
205,164,1,42084,17.18,34853.44
205,515,4,12505,8.39,45824.59
205,768,5,13488,12.21,59208.44
205,380,4,30278,3.02,117458.71
205,77,5,39207,17.84,161063.99
206,72,3,37610,17.17,93460.51
206,276,3,39580,4.61,113264.94
206,215,3,11546,4.05,33234.66
206,121,2,48382,3.57,93305.0
207,742,5,2818,11.55,12463.28
208,67,3,43701,15.55,110718.49
208,572,5,14356,6.55,67078.98
208,293,4,23591,4.25,90353.03
208,288,4,8680,5.94,32656.65
208,200,3,6774,3.49,19612.56
209,276,1,39580,12.62,34583.85
209,788,2,5464,7.95,10059.49
209,382,5,14074,18.0,57703.2
209,610,5,18636,0.53,92683.22
209,543,2,46974,15.53,79360.61
210,221,5,32169,8.5,147171.87
211,512,1,16781,6.89,15624.02
211,327,2,38237,15.35,64734.17
212,697,3,1244,17.43,3081.53
212,283,1,49245,5.67,46454.01
212,34,5,16265,6.08,76380.74
212,246,1,38568,3.88,37071.75
213,441,4,8841,11.78,31197.54
213,445,4,34167,8.7,124773.14
213,749,2,23588,2.42,46033.65
213,650,2,37608,7.98,69215.28
214,79,4,12329,14.27,42281.03
215,72,5,37610,19.67,151066.2
215,445,3,34167,15.08,87044.11
215,691,4,27431,0.24,109460.68
215,119,3,24872,18.35,60922.66
215,350,1,25292,13.99,21754.11
216,584,1,48654,12.4,42623.26
216,328,4,22971,9.95,82745.02
217,284,2,33707,3.35,65155.0
217,277,5,39219,8.11,180192.3
218,737,4,30765,3.88,118279.59
218,110,5,17621,15.18,74727.67
218,446,3,5476,12.46,14380.33
218,145,5,35829,13.41,155126.63
219,412,4,11483,4.42,43902.91
219,207,4,3368,9.85,12145.47
219,261,4,44754,1.78,175828.89
219,506,1,49791,19.85,39908.07
220,781,3,41599,3.15,120862.84
220,68,3,7164,15.44,18174.45
220,304,2,30285,17.71,49842.39
220,127,1,40973,9.03,37271.15
220,137,3,4369,19.57,10541.83
221,694,1,9316,12.6,8142.22
221,483,2,30581,16.34,51165.63
221,229,2,6553,19.91,10496.79
222,44,4,36772,11.39,130336.06
222,97,2,25293,16.62,42177.1
222,450,4,47864,2.41,186840.08
222,128,1,8933,11.56,7900.16
223,575,1,47368,13.73,40862.2
223,370,4,12255,2.09,47994.39
224,590,3,21896,11.81,57930.33
224,131,4,29036,11.12,103232.19
224,418,2,13961,2.64,27185.63
224,494,5,18760,14.19,80488.11
224,380,4,30278,5.0,115056.44
225,676,3,1469,6.05,4140.57
225,285,1,46606,2.98,45217.9
225,603,3,40489,16.76,101108.25
225,665,5,908,19.16,3670.17
225,41,5,49640,6.23,232742.56
226,443,3,22669,3.52,65610.91
226,74,4,16509,10.98,58787.15
226,100,2,35404,1.93,69437.88
226,441,3,8841,8.14,24364.23
227,382,3,14074,16.46,35272.71
227,93,4,23163,0.06,92596.25
227,559,4,34769,7.13,129155.92
227,108,3,49716,9.77,134573.63
228,53,2,38958,11.84,68688.25
228,627,2,3665,17.6,6039.84
228,308,1,21668,10.66,19357.2
229,370,1,12255,16.06,10287.43
229,64,5,9431,12.66,41187.34
229,156,2,33348,18.59,54295.08
230,763,5,8606,10.81,38379.07
230,59,4,29617,16.74,98631.67
231,601,2,6726,9.54,12169.23
231,744,2,40044,10.6,71599.71
231,443,1,22669,11.14,20143.11
232,592,4,1425,0.45,5674.13
232,529,2,38337,10.4,68699.41
232,85,4,10347,11.65,36565.02
232,723,4,46881,5.51,177199.45
232,785,5,36000,8.75,164252.51
233,594,4,10597,3.59,40867.64
233,141,3,18117,1.44,53568.11
234,80,4,41984,2.9,163063.17
234,412,5,11483,7.95,52849.93
235,798,1,43335,7.51,40081.57
235,289,1,10839,9.29,9831.8
235,195,4,16145,15.76,54400.17
236,316,2,41038,3.91,78864.69
236,80,5,41984,9.37,190245.54
236,49,1,35696,6.69,33307.17
236,340,5,8992,1.33,44364.22
237,386,2,16851,16.49,28145.71
237,724,5,32772,17.41,135334.37
237,685,5,13026,9.1,59200.47
237,562,1,31515,18.51,25683.06
237,602,2,37272,3.13,72207.2
238,380,4,30278,7.19,112402.67
238,569,3,40452,10.89,108138.33
238,765,4,22431,17.94,73631.34
238,341,5,2932,3.34,14170.19
239,329,2,11671,0.85,23142.78
240,84,2,43041,16.13,72194.61
240,392,4,8036,9.51,29088.14
240,704,3,30545,2.01,89793.85
240,31,3,10246,4.79,29265.45
240,632,5,48368,13.42,209381.93
241,185,3,44228,1.42,130796.62
241,698,4,49299,19.92,157915.06
241,172,4,33849,5.11,128479.34
241,669,1,45090,5.15,42769.51
241,284,5,33707,8.38,154410.91
242,250,3,18922,5.25,53782.99
242,656,4,42531,12.6,148680.92
242,245,4,1847,11.25,6556.89
242,180,5,17565,7.63,81126.91
242,506,3,49791,2.14,146169.32
243,490,4,26691,17.67,87902.49
243,13,4,30835,8.83,112450.64
244,96,3,38441,5.57,108903.52
244,685,1,13026,3.04,12630.22
245,360,1,11048,19.38,8906.99
245,514,3,40377,2.09,118594.44
245,328,5,22971,10.26,103072.92
245,462,4,4206,2.3,16436.41
246,479,2,36972,14.69,63081.03
246,515,1,12505,18.42,10201.42
246,715,5,14163,5.62,66838.42
246,89,1,12315,19.48,9916.03
247,20,3,22758,18.66,55533.38
248,641,5,2590,14.19,11112.88
248,650,5,37608,4.15,180243.31
248,751,4,30937,12.61,108146.7
249,181,3,37765,19.06,91704.69
