PRODUCT_ID,PRODUCT_NAME,CATEGORY_ID,BRAND,MODEL,DESCRIPTION,UNIT_COST,UNIT_PRICE,MSRP,WEIGHT_KG,DIMENSIONS_CM,IS_ACTIVE
1,Nestle Tea,3,Nestle,Model-5690,High quality nestle tea from Nestle,15004.36,22044,28518.31,0.91,55x16x2 cm,True
2,Tecno Smartphone 1,1,Tecno,Model-9190,High quality tecno smartphone 1 from Tecno,38412.37,49355,62510.02,1.91,89x18x15 cm,True
3,Reebok Product 3,7,Reebok,Model-9401,High quality reebok product 3 from Reebok,20377.95,27620,32846.84,1.0,12x80x29 cm,True
4,Huawei Charger 19,1,Huawei,Model-4092,High quality huawei charger 19 from Huawei,17250.02,27058,31055.49,1.13,67x26x43 cm,True
5,Staedtler Product 5,8,Staedtler,Model-3726,High quality staedtler product 5 from Staedtler,4390.7,6694,7673.37,0.02,28x18x20 cm,False
6,Interwood Product 6,5,Interwood,Model-9737,High quality interwood product 6 from Interwood,24207.8,37063,45816.69,8.62,72x52x24 cm,True
7,Shan Foods Tea,3,Shan Foods,Model-7202,High quality shan foods tea from Shan Foods,11120.17,15490,17960.08,0.84,48x24x18 cm,True
8,Engro Biscuits,3,Engro,Model-8289,High quality engro biscuits from Engro,27166.0,40604,51992.28,1.02,43x97x16 cm,True
9,Puma Product 9,7,Puma,Model-3552,High quality puma product 9 from Puma,10402.71,13709,16615.57,0.04,79x85x48 cm,False
10,Chenab Product 10,5,Chenab,Model-8003,High quality chenab product 10 from Chenab,19950.91,31465,38546.31,0.15,69x65x4 cm,True
11,Sapphire Dress,2,Sapphire,Model-8156,High quality sapphire dress from Sapphire,25362.18,36842,45639.77,7.71,32x86x49 cm,False
12,Samsung Charger 12,1,Samsung,Model-1925,High quality samsung charger 12 from Samsung,12767.8,17998,20646.48,4.46,68x50x22 cm,True
13,Clean & Clear Product 13,6,Clean & Clear,Model-5723,High quality clean & clear product 13 from Clean & Clear,22792.0,30835,37765.33,2.22,15x20x32 cm,True
14,Fair & Lovely Product 14,6,Fair & Lovely,Model-8791,High quality fair & lovely product 14 from Fair & Lovely,28351.02,37342,43840.18,2.17,76x89x30 cm,True
15,L'Oreal Product 15,6,L'Oreal,Model-2792,High quality l'oreal product 15 from L'Oreal,3180.52,4611,5100.72,4.5,84x14x2 cm,True
16,Under Armour Product 16,7,Under Armour,Model-2103,High quality under armour product 16 from Under Armour,38539.14,48804,59833.8,1.38,86x100x32 cm,True
17,Reebok Product 17,7,Reebok,Model-4917,High quality reebok product 17 from Reebok,6778.34,8637,10880.91,0.72,22x58x10 cm,False
18,Oppo TV 13,1,Oppo,Model-2652,High quality oppo tv 13 from Oppo,25005.92,39505,45371.07,2.77,37x25x30 cm,False
19,Bonanza Scarf,2,Bonanza,Model-7926,High quality bonanza scarf from Bonanza,37959.32,49245,60311.7,3.28,70x53x29 cm,True
20,Nestle Chocolate,3,Nestle,Model-1633,High quality nestle chocolate from Nestle,16418.18,22758,27451.85,0.57,82x56x6 cm,True
21,Oxford Product 21,8,Oxford,Model-1002,High quality oxford product 21 from Oxford,31101.98,43651,52744.93,1.04,38x100x9 cm,True
22,Suzuki Product 22,4,Suzuki,Model-3461,High quality suzuki product 22 from Suzuki,3740.95,4857,6056.21,6.02,37x85x44 cm,True
23,Shan Foods Chocolate,3,Shan Foods,Model-3328,High quality shan foods chocolate from Shan Foods,10221.57,14787,19167.14,1.1,77x56x5 cm,False
24,Ponds Product 24,6,Ponds,Model-9494,High quality ponds product 24 from Ponds,11874.55,15729,18578.95,1.08,50x92x36 cm,True
25,Nike Product 25,7,Nike,Model-4257,High quality nike product 25 from Nike,1639.93,2552,2979.83,1.38,100x36x48 cm,False
26,Pelikan Product 26,8,Pelikan,Model-7922,High quality pelikan product 26 from Pelikan,10560.07,16520,19172.36,1.84,52x79x27 cm,False
27,Clean & Clear Product 27,6,Clean & Clear,Model-2971,High quality clean & clear product 27 from Clean & Clear,3868.86,6409,8314.62,5.61,36x100x8 cm,False
