ORDER_ID,CUSTOMER_ID,PRODUCT_ID,STORE_ID,EMPLOYEE_ID,ORDER_DATE,SHIP_DATE,QUANTITY_ORDERED,UNIT_PRICE,DISCOUNT_PERCENT,TOTAL_AMOUNT,PAYMENT_METHOD,ORDER_STATUS,SHIP_METHOD
1,752,726,32,261,2024-03-23,2024-03-30,2,39460,14.9,67161.27,Bank Transfer,Shipped,Same Day
2,420,666,15,192,2025-04-23,2025-04-27,1,17292,6.29,16203.51,Bank Transfer,Delivered,Standard
3,590,394,21,298,2025-01-13,2025-01-18,4,29795,17.79,97975.9,Debit Card,Shipped,Standard
4,980,253,12,245,2024-03-23,2024-03-30,3,44802,5.56,126933.9,EasyPaisa,Delivered,Same Day
5,1729,119,34,84,2024-09-21,2024-09-24,3,24872,7.1,69320.24,Debit Card,Shipped,Courier
6,1556,621,3,252,2024-04-08,,4,33101,10.41,118623.51,Credit Card,Pending,Express
7,962,453,74,128,2025-06-27,2025-07-04,2,22929,16.7,38198.83,Bank Transfer,Shipped,Express
8,1902,30,70,13,2025-07-11,2025-07-14,1,37381,4.06,35865.0,Debit Card,Shipped,Same Day
9,416,207,60,109,2024-01-22,,2,3368,2.38,6575.9,Bank Transfer,Pending,Same Day
10,1954,238,27,258,2025-07-23,2025-07-29,2,6771,12.46,11855.17,EasyPaisa,Delivered,Express
11,179,246,43,161,2024-04-07,,4,38568,8.69,140869.52,Bank Transfer,Pending,Express
12,1780,231,32,261,2025-06-23,2025-06-27,2,28034,11.45,49650.41,JazzCash,Shipped,Express
13,784,220,26,83,2025-04-24,2025-04-27,1,22061,3.59,21269.56,Debit Card,Shipped,Courier
14,1067,410,43,180,2025-08-14,,5,35308,2.44,172239.29,Bank Transfer,Processing,Courier
15,1058,53,54,35,2024-06-06,,5,38958,13.76,167979.12,JazzCash,Pending,Standard
16,1742,119,5,184,2024-09-14,,4,24872,1.91,97588.38,Bank Transfer,Processing,Same Day
17,434,755,53,178,2024-01-21,2024-01-26,4,31786,6.03,119474.68,Credit Card,Shipped,Pickup
18,948,93,64,211,2024-06-26,2024-06-27,5,23163,6.93,107794.31,Cash,Delivered,Courier
19,355,799,8,208,2024-08-10,,5,47253,15.98,198507.68,Cash,Processing,Pickup
20,297,450,34,286,2025-03-20,2025-03-24,3,47864,8.03,132054.62,JazzCash,Shipped,Courier
21,475,319,8,186,2024-11-29,2024-12-03,2,33976,6.65,63430.68,Cash,Delivered,Same Day
22,1427,102,6,92,2024-05-09,2024-05-15,2,5698,4.86,10841.86,Debit Card,Shipped,Pickup
23,1572,334,8,230,2025-06-05,2025-06-07,2,12254,6.12,23007.88,Credit Card,Shipped,Standard
24,237,795,46,133,2025-07-26,2025-07-27,5,13627,5.97,64068.19,Credit Card,Delivered,Courier
25,868,571,3,169,2025-01-16,2025-01-21,5,1587,12.54,6939.62,Mobile Banking,Shipped,Courier
26,788,449,6,194,2024-02-03,,5,34100,12.36,149432.48,Bank Transfer,Pending,Pickup
27,637,207,68,135,2023-11-24,,1,3368,8.12,3094.52,Cash,Processing,Standard
28,980,155,34,84,2024-11-29,2024-12-01,2,24628,5.6,46498.28,Mobile Banking,Shipped,Pickup
29,1577,514,6,163,2025-04-15,2025-04-22,4,40377,11.86,142353.66,Debit Card,Delivered,Express
30,87,507,30,221,2023-10-29,2023-10-30,3,15441,5.21,43907.72,Cash,Shipped,Same Day
31,404,121,52,253,2024-10-02,2024-10-05,2,48382,8.34,88696.7,Debit Card,Shipped,Same Day
32,1896,18,22,222,2025-03-01,2025-03-03,3,39505,9.81,106888.98,Debit Card,Shipped,Express
33,1509,552,41,36,2024-10-31,2024-11-02,1,7982,9.94,7188.36,EasyPaisa,Shipped,Same Day
34,1057,20,29,155,2025-08-08,2025-08-10,3,22758,15.53,57673.31,Credit Card,Shipped,Pickup
35,254,361,34,84,2023-10-30,2023-10-31,4,23190,8.69,84699.9,Debit Card,Delivered,Same Day
36,767,349,8,186,2025-02-23,2025-03-01,2,12703,0.37,25312.75,Cash,Shipped,Courier
37,1929,51,43,161,2024-02-20,2024-02-22,5,15874,5.19,75249.77,Cash,Shipped,Standard
38,1517,768,34,84,2025-04-17,2025-04-21,4,13488,16.84,44863.87,Cash,Delivered,Pickup
39,338,648,17,48,2025-06-16,2025-06-18,2,25201,8.7,46018.28,Debit Card,Delivered,Same Day
40,521,432,34,286,2024-11-10,,4,9095,8.16,33412.71,JazzCash,Processing,Same Day
41,46,208,36,246,2024-05-26,2024-05-31,5,42655,4.66,203329.7,Debit Card,Shipped,Courier
42,506,100,39,234,2024-03-25,2024-03-28,1,35404,13.74,30538.25,Cash,Delivered,Standard
43,250,280,66,103,2023-11-12,2023-11-17,1,28810,9.91,25955.48,EasyPaisa,Delivered,Express
44,1831,398,58,213,2023-09-17,2023-09-21,4,923,3.46,3564.37,Credit Card,Delivered,Courier
45,244,367,53,157,2023-11-22,2023-11-28,2,37434,6.12,70282.48,JazzCash,Shipped,Same Day
46,940,130,70,11,2024-05-22,,2,23932,16.82,39814.86,Bank Transfer,Pending,Same Day
47,1738,126,4,76,2023-12-12,,5,47790,0.67,237344.91,EasyPaisa,Pending,Standard
48,1111,280,6,92,2024-10-06,2024-10-08,5,28810,4.54,137510.59,Cash,Shipped,Pickup
49,1615,42,62,146,2024-04-08,2024-04-09,3,20451,12.41,53736.2,Mobile Banking,Shipped,Pickup
50,1136,54,57,270,2023-12-30,,3,6473,18.48,15831.18,EasyPaisa,Pending,Pickup
51,1965,588,59,265,2025-05-21,2025-05-25,3,7137,12.14,18811.14,Mobile Banking,Shipped,Express
52,280,93,32,64,2025-04-02,2025-04-03,5,23163,15.97,97318.86,Bank Transfer,Delivered,Pickup
53,892,552,29,155,2023-08-25,2023-08-30,2,7982,15.33,13517.0,Bank Transfer,Delivered,Pickup
54,1771,734,41,20,2024-05-21,2024-05-28,5,40820,12.99,177588.36,Bank Transfer,Delivered,Express
55,696,540,61,242,2024-08-23,2024-08-27,4,29779,10.49,106623.0,JazzCash,Shipped,Courier
56,275,445,23,26,2024-07-15,,2,34167,17.73,56221.7,EasyPaisa,Processing,Standard
57,899,642,22,222,2023-10-23,2023-10-25,4,20066,4.33,76789.68,Debit Card,Delivered,Courier
58,1682,130,14,42,2024-08-09,2024-08-13,1,23932,10.87,21330.5,Mobile Banking,Delivered,Express
59,369,70,38,299,2025-03-11,2025-03-14,1,5496,5.45,5196.74,Credit Card,Shipped,Pickup
60,413,681,55,34,2024-12-04,2024-12-07,1,9569,14.02,8227.1,Credit Card,Delivered,Express
61,1937,766,73,249,2024-04-12,2024-04-19,3,38185,11.56,101317.18,Cash,Delivered,Pickup
62,327,182,72,294,2024-05-11,2024-05-14,2,15669,10.59,28018.47,Debit Card,Delivered,Same Day
63,353,59,6,163,2024-09-26,2024-09-28,1,29617,2.07,29003.97,Credit Card,Shipped,Standard
64,1749,302,24,56,2024-12-08,2024-12-12,4,7694,5.98,28935.88,Credit Card,Delivered,Courier
65,396,709,71,259,2025-04-26,2025-04-27,3,49181,18.19,120703.21,Bank Transfer,Delivered,Express
